Complaint ID,Date Received,Product,Sub-product,Issue,Company,State,Consumer Complaint Narrative,Company Response to Consumer,Timely Response?,Consumer Disputed?
5000364,27-06-2024,Mortgage,FHA mortgage,Escrow account,NorthRiver Banking,VA,I am filing this complaint because of escrow account. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with explanation,Yes,
5000542,27-06-2024,Mortgage,FHA mortgage,Struggling to pay mortgage,Liberty Trust Bank,FL,I am filing this complaint because of struggling to pay mortgage. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with explanation,Yes,No
5001183,27-06-2024,Credit card,General-purpose credit card,Billing disputes,Sterling Financial Group,VA,I am filing this complaint because of billing disputes. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with explanation,No,No
5001217,27-06-2024,Credit card,General-purpose credit card,Incorrect balance,Summit Financial Corp,NC,"I am filing this complaint because of incorrect balance. Customer service kept transferring me without resolving the issue. During this process, unauthorized fee took all my money. I expect the company to correct the error.",Closed with explanation,Yes,
5001414,27-06-2024,Credit card,General-purpose credit card,Problem with a purchase,Pioneer Community Bank,NV,I am filing this complaint because of problem with a purchase. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with monetary relief,Yes,No
5002152,27-06-2024,Credit card,General-purpose credit card,Billing disputes,Evergreen National,OK,I am filing this complaint because of billing disputes. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with explanation,Yes,No
5002175,27-06-2024,Mortgage,Conventional home mortgage,Struggling to pay mortgage,Vanguard Mutual,TX,I am filing this complaint because of struggling to pay mortgage. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with monetary relief,Yes,Yes
5002364,27-06-2024,Debt collection,Credit card debt,Attempts to collect debt not owed,BlueStone Capital,NM,I am filing this complaint because of attempts to collect debt not owed. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with monetary relief,Yes,
5002909,27-06-2024,Credit card,General-purpose credit card,Incorrect balance,Apex Horizon Bank,HI,I am filing this complaint because of incorrect balance. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with non-monetary relief,Yes,Yes
5004464,27-06-2024,Mortgage,Conventional home mortgage,Struggling to pay mortgage,Evergreen National,NC,I am filing this complaint because of struggling to pay mortgage. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with monetary relief,Yes,Yes
5004533,27-06-2024,Credit card,General-purpose credit card,Incorrect balance,Pioneer Community Bank,ID,I am filing this complaint because of incorrect balance. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with non-monetary relief,Yes,No
5004540,27-06-2024,Credit card,General-purpose credit card,Incorrect balance,Summit Financial Corp,CO,I am filing this complaint because of incorrect balance. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with monetary relief,Yes,No
5004946,27-06-2024,Mortgage,Conventional home mortgage,Loan servicing,Apex Horizon Bank,NY,I am filing this complaint because of loan servicing. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with explanation,Yes,No
